Model;Scenario;Region;Damage quantile;SLR quantile;SLR adaptation;Target;Discounting;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2070;2080;2090;2100;2110;2130;2150
REMIND;experiment-1-1;R5.2ASIA;5;5;without;rcp60;medium;GDP|PPP;billion US$2010/yr;14311.13487;20596.68417;29859.00403;41647.05099;54231.08646;66540.5287;78976.35185;91049.94091;103364.7739;115344.5106;126882.3509;138139.0252;161452.4855;184878.096;206361.4192;229863.1323;228588.3776;229025.3047;207798.7925
REMIND;experiment-1-1;R5.2ASIA;50;50;with;rcp60;medium;Consumption;billion US$2010/yr;3789.757487;4072.562993;7247.49513;11474.52351;15444.7844;18069.3055;20816.62642;23149.09759;25460.3795;27764.70563;29760.68787;31995.75498;34755.65305;39926.70697;44725.6585;48815.6887;55460.01681;47446.51943;54084.74262
REMIND;experiment-1-1;R5.2ASIA;50;50;with;rcp60;medium;GDP|PPP;billion US$2010/yr;14311.13487;20590.95667;29849.58969;41594.08295;54132.18279;66278.66931;78459.72991;90083.62433;101575.6633;112577.1043;123045.221;132971.2352;153087.0291;172245.7962;188041.0468;205480.765;201219.1571;195153.6329;171303.6721
REMIND;experiment-1-1;R5.2ASIA;50;50;without;rcp60;medium;Consumption;billion US$2010/yr;3789.757129;4073.932109;7241.88626;11439.07935;15274.29892;17758.92687;20430.63859;22810.1525;25046.63019;27054.93065;28865.95282;30833.21437;33085.2253;37610.3963;41654.28452;44907.69601;50208.56634;41978.39701;45882.36541
REMIND;experiment-1-1;R5.2ASIA;50;50;without;rcp60;medium;GDP|PPP;billion US$2010/yr;14311.13487;20588.60258;29842.82635;41616.58649;54084.70033;66046.51133;77902.38481;89217.0967;100490.3069;111050.519;120927.8106;130336.8549;148681.6371;165522.3396;178770.6883;193212.5114;186977.9208;174148.1721;145163.345
REMIND;experiment-1-1;R5.2ASIA;95;95;with;rcp60;medium;Consumption;billion US$2010/yr;3789.755818;4075.379252;7241.642411;11472.18001;15462.74066;17757.3616;20247.61076;22463.86888;24660.10981;26566.14029;28205.35486;30047.64246;32194.18826;35994.37945;39358.70963;41897.71375;46800.19003;38788.24653;42308.26593
REMIND;experiment-1-1;R5.2ASIA;95;95;with;rcp60;medium;GDP|PPP;billion US$2010/yr;14311.13487;20583.49795;29835.64408;41562.5579;54033.03698;66043.87801;77711.61912;88639.24746;99489.76985;109640.424;118856.2318;127292.9676;144041.9979;158645.5616;168754.7037;179828.6078;172602.2001;158481.4724;130813.7027
REMIND;experiment-1-1;R5.2ASIA;95;95;without;rcp60;medium;Consumption;billion US$2010/yr;3789.754371;4075.728655;7226.962242;11394.48051;15165.52309;17383.76977;19931.90806;22067.1371;23961.00285;25550.28033;26924.40677;28369.4991;29754.90385;32542.73197;34637.59304;36065.92662;39232.24171;31156.07539;30632.61966
REMIND;experiment-1-1;R5.2ASIA;95;95;without;rcp60;medium;GDP|PPP;billion US$2010/yr;14311.13487;20584.03834;29838.11529;41619.91774;53937.13102;65554.63098;76886.78159;87574.12561;97921.83487;107269.1094;115701.8711;123435.4;137690.0041;149098.1551;155422.8625;162109.28;152176.8085;128609.1362;94839.52881
REMIND;experiment-1-1;R5.2ASIA;NA;NA;NA;rcp60;medium;Consumption;billion US$2010/yr;3789.772622;4063.905191;7248.369234;11513.07224;15615.73219;18466.29741;21539.33185;24258.8012;26667.08921;29133.22344;31590.55974;34253.49993;37575.62675;44324.21697;50995.93499;57216.88268;67134.4165;59076.30553;71321.32008
REMIND;experiment-1-1;R5.2ASIA;NA;NA;NA;rcp60;medium;GDP|PPP;billion US$2010/yr;14311.13487;20594.07237;29847.68249;41610.38166;54277.56579;66637.99171;79168.68485;91422.24914;103689.4254;115694.8288;127643.7087;139533.2073;163643.6533;188362.9512;211386.2677;236948.973;237055.3648;242191.7108;224865.9595
REMIND;experiment-1-1;R5.2LAM;5;5;with;rcp60;medium;Consumption;billion US$2010/yr;2504.743478;2503.770792;3150.148479;3580.943332;4130.982838;4765.902888;5439.220936;6143.106768;6891.229092;7751.156254;8598.116927;9488.140191;10833.36225;13246.3229;15756.65664;18335.81934;21654.87779;18999.70546;24177.13291
REMIND;experiment-1-1;R5.2LAM;5;5;with;rcp60;medium;GDP|PPP;billion US$2010/yr;5520.574692;6560.94798;8103.463855;9709.355829;11412.77613;13219.40847;15205.24394;17379.95343;19716.58473;22172.06568;24870.56605;27731.2347;33999.28624;41058.4419;48374.40117;56732.71356;58047.51795;61424.92572;59134.0497
REMIND;experiment-1-1;R5.2LAM;5;5;without;rcp60;medium;Consumption;billion US$2010/yr;2504.743846;2513.886882;3196.862359;3632.575965;4195.626304;4830.343531;5511.63275;6213.46606;6944.695016;7766.345399;8634.832509;9485.71444;10744.89878;13047.9535;15426.27117;17708.01061;20725.1054;18144.22968;23202.02002
REMIND;experiment-1-1;R5.2LAM;5;5;without;rcp60;medium;GDP|PPP;billion US$2010/yr;5520.574692;6553.922995;8099.164075;9709.344133;11409.02304;13208.53122;15187.50315;17361.44321;19692.47653;22109.06926;24781.65787;27647.75048;33818.1287;40700.52969;47932.95868;56043.20402;57093.46729;59996.1359;57345.29727
REMIND;experiment-1-1;R5.2LAM;50;50;with;rcp60;medium;Consumption;billion US$2010/yr;2492.487739;2455.442518;2935.255011;3334.448231;3826.541015;4425.019964;5036.113383;5692.951819;6395.706655;7165.343027;7839.82138;8583.247138;9672.497829;11516.98943;13357.16339;15043.07126;17141.36221;14621.28211;16666.79498
REMIND;experiment-1-1;R5.2LAM;50;50;with;rcp60;medium;GDP|PPP;billion US$2010/yr;5520.574692;6592.191423;8125.249348;9710.517576;11347.43463;13055.97456;14879.57569;16810.40113;18841.00351;20940.88032;23188.68574;25477.76483;30347.68324;35538.51561;40626.66518;46373.44989;46065.58375;45833.04321;41235.99883
REMIND;experiment-1-1;R5.2LAM;50;50;without;rcp60;medium;Consumption;billion US$2010/yr;2504.737929;2468.018008;2988.374196;3391.023331;3895.722256;4501.775733;5109.431464;5763.510186;6413.3656;7138.495637;7809.000364;8493.145986;9453.119435;11137.173;12771.06881;14209.27306;16043.28752;13374.81404;14517.7124
REMIND;experiment-1-1;R5.2LAM;50;50;without;rcp60;medium;GDP|PPP;billion US$2010/yr;5520.574692;6584.347347;8120.341738;9710.478736;11336.72232;13033.23191;14843.04696;16768.71946;18778.58011;20813.21387;23004.36691;25267.77443;29944.19149;34853.07511;39605.84291;44912.43032;44354.22416;43314.35185;38032.7471
REMIND;experiment-1-1;R5.2LAM;95;95;with;rcp60;medium;Consumption;billion US$2010/yr;2482.403384;2452.630202;2922.551373;3317.347348;3794.092895;4402.382769;5009.424199;5647.098674;6281.834091;6999.548197;7651.588933;8313.407505;9267.151512;10766.53792;12216.3123;13442.10595;15014.99966;12444.54549;13573.88479
REMIND;experiment-1-1;R5.2LAM;95;95;with;rcp60;medium;GDP|PPP;billion US$2010/yr;5520.574692;6593.896456;8127.073417;9713.091162;11319.77012;12985.26764;14758.32639;16625.58862;18545.04393;20475.74287;22547.27643;24648.11483;29071.03869;33602.10443;37851.93963;42632.81929;41821.63889;40282.87907;34960.61308
REMIND;experiment-1-1;R5.2LAM;95;95;without;rcp60;medium;Consumption;billion US$2010/yr;2504.739676;2485.504129;3062.641476;3471.994288;3969.971758;4580.634141;5174.636986;5811.236806;6412.761758;7005.793119;7652.534928;8254.371815;9007.223046;10238.08516;11311.17577;12179.55671;13248.87152;10521.59641;10437.8368
REMIND;experiment-1-1;R5.2LAM;95;95;without;rcp60;medium;GDP|PPP;billion US$2010/yr;5520.574692;6573.261698;8113.173639;9714.061999;11310.03887;12960.38239;14706.66756;16557.19203;18470.07522;20319.94931;22287.53368;24343.13335;28527.52833;32714.33765;36461.64249;40647.72817;39555.54054;36854.01722;30583.55764
REMIND;experiment-1-1;R5.2LAM;NA;NA;NA;rcp60;medium;Consumption;billion US$2010/yr;2480.042443;2454.014632;2927.114499;3336.385439;3855.728575;4446.32688;5048.515573;5693.741327;6451.242279;7237.023663;7897.188506;8701.118005;9873.448001;12039.6732;14307.96838;16607.08409;19640.36457;17282.52912;20864.7596
REMIND;experiment-1-1;R5.2LAM;NA;NA;NA;rcp60;medium;GDP|PPP;billion US$2010/yr;5520.574692;6592.291335;8123.753269;9703.596381;11368.09939;13129.80595;15008.34933;16944.46326;19007.57489;21265.72126;23683.41555;26123.36919;31377.51462;37175.45486;42966.53362;49587.44621;49783.18135;50915.40748;47154.4879
REMIND;experiment-1-1;R5.2MAF;5;5;with;rcp60;medium;Consumption;billion US$2010/yr;1572.09891;2285.056302;2816.520647;3419.410973;4174.258544;5082.331685;6221.614537;7556.382784;9155.905204;11031.99899;13159.0747;16313.24478;21110.89471;28048.58868;35214.63906;42906.45001;50583.47386;44459.84708;52886.70161
REMIND;experiment-1-1;R5.2MAF;5;5;with;rcp60;medium;GDP|PPP;billion US$2010/yr;4557.503299;5975.500775;7752.479911;9768.239013;12144.84682;14931.24978;18270.87263;22094.73965;26632.96042;31953.20479;38455.38473;45987.24798;64602.16267;88393.62029;117472.6199;152157.1856;152806.2414;152466.1206;139317.9749
REMIND;experiment-1-1;R5.2MAF;5;5;without;rcp60;medium;Consumption;billion US$2010/yr;1572.114648;2276.486152;2773.240944;3367.020489;4115.365152;5006.322874;6133.114677;7449.208516;9019.974395;10879.95866;13047.11657;16321.76573;21566.27142;28476.35302;35577.71644;42800.16349;49546.6637;42709.99277;48918.49338
REMIND;experiment-1-1;R5.2MAF;5;5;without;rcp60;medium;GDP|PPP;billion US$2010/yr;4557.503299;5981.071161;7757.852827;9767.869536;12137.99242;14913.67502;18235.70948;22037.76912;26537.91788;31792.71863;38177.32853;45372.77278;63982.76656;87491.94529;116167.1504;150420.2652;150385.2749;147784.9275;132423.2878
REMIND;experiment-1-1;R5.2MAF;50;50;with;rcp60;medium;Consumption;billion US$2010/yr;1572.065143;2295.05092;2848.709714;3454.844149;4197.945029;5111.724082;6234.453602;7558.923285;9120.168094;10893.2939;12946.61492;15960.58306;20461.72102;26566.47832;32519.34076;38345.59645;43693.91783;37270.07892;42484.51561
REMIND;experiment-1-1;R5.2MAF;50;50;with;rcp60;medium;GDP|PPP;billion US$2010/yr;4557.503299;5971.951261;7749.707365;9771.131762;12119.43983;14858.61672;18123.52269;21836.94095;26220.17094;31289.222;37441.97567;44482.86644;61931.06565;83711.47582;109895.4939;140358.2072;139000.6782;134196.0111;118382.1081
REMIND;experiment-1-1;R5.2MAF;50;50;without;rcp60;medium;Consumption;billion US$2010/yr;1572.06391;2249.484783;2719.459335;3298.79656;4014.335386;4889.553503;5963.033377;7234.281568;8723.271615;10428.13984;12452.71517;15497.30281;20401.70519;26149.12538;31705.53918;36991.87524;41322.15383;34449.01791;37392.59283
REMIND;experiment-1-1;R5.2MAF;50;50;without;rcp60;medium;GDP|PPP;billion US$2010/yr;4557.503299;5984.367975;7761.289983;9770.786612;12101.23706;14814.59991;18034.45729;21683.47643;25974.94803;30900.30644;36792.75245;43269.72321;60292.97664;81147.76972;105610.4406;134069.608;131248.2975;121522.2501;101534.4556
REMIND;experiment-1-1;R5.2MAF;95;95;with;rcp60;medium;Consumption;billion US$2010/yr;1572.065849;2294.105516;2838.609946;3439.402357;4166.312514;5078.234103;6183.995016;7471.670465;8955.766849;10634.89298;12573.35172;15359.01343;19347.79208;24577.40926;29427.64977;33897.68784;37863.96442;31381.83404;34229.71366
REMIND;experiment-1-1;R5.2MAF;95;95;with;rcp60;medium;GDP|PPP;billion US$2010/yr;4557.503299;5973.172892;7751.019272;9772.900725;12088.22793;14772.37898;17959.28535;21555.77854;25749.06603;30535.86977;36336.28003;42962.15493;59092.79673;78760.83241;101838.2232;127986.3706;124883.4922;116087.5441;98072.16404
REMIND;experiment-1-1;R5.2MAF;95;95;without;rcp60;medium;Consumption;billion US$2010/yr;1572.054773;2201.994544;2662.076062;3227.121701;3911.623209;4754.061171;5774.938209;6979.017127;8365.800493;9932.644857;11838.28245;14660.42865;19289.08325;24025.9882;28383.0591;32022.43589;34546.87544;27435.19363;26273.8383
REMIND;experiment-1-1;R5.2MAF;95;95;without;rcp60;medium;GDP|PPP;billion US$2010/yr;4557.503299;5984.736776;7762.023271;9773.01485;12064.48576;14712.63996;17828.80227;21321.44193;25377.1309;29952.35208;35364.18606;41149.49057;56639.86282;74856.44352;95415.88418;118624.5686;113454.5627;98026.30227;75304.899
REMIND;experiment-1-1;R5.2MAF;NA;NA;NA;rcp60;medium;Consumption;billion US$2010/yr;1572.160327;2305.31185;2852.289799;3473.735757;4253.653192;5180.374562;6323.136554;7674.340434;9280.538984;11188.13494;13466.53557;16970.47109;22864.54606;30366.09536;38146.02287;46418.3737;54896.54091;48307.33487;58198.15611
REMIND;experiment-1-1;R5.2MAF;NA;NA;NA;rcp60;medium;GDP|PPP;billion US$2010/yr;4557.503299;5973.366066;7750.371469;9766.078224;12153.70381;14980.96592;18366.01066;22216.13176;26784.84139;32206.91152;38803.79587;46115.25201;66051.87894;91861.47576;123536.2559;162163.1052;164390.9925;167661.8308;157103.8446
REMIND;experiment-1-1;R5.2OECD;5;5;with;rcp60;medium;Consumption;billion US$2010/yr;22780.32767;23748.69434;24933.08404;27882.79968;31729.85519;36233.38528;41079.74117;46115.96752;51536.99105;56267.26525;61667.16825;68693.39109;80119.87011;95167.31997;108126.7014;118658.6058;130772.1515;117012.0906;131982.8489
REMIND;experiment-1-1;R5.2OECD;5;5;with;rcp60;medium;GDP|PPP;billion US$2010/yr;36622.83853;38581.64194;42966.08277;48072.48919;52751.32648;57275.01263;61788.90639;66341.77595;71013.84813;75544.75422;80199.97514;84861.29381;95472.34626;106156.4205;115950.0803;126616.6492;125356.1683;127180.0153;118704.0199
REMIND;experiment-1-1;R5.2OECD;5;5;without;rcp60;medium;Consumption;billion US$2010/yr;22779.37132;23745.08403;24925.96492;27864.01865;31739.23215;36166.43097;40993.13461;45933.98543;51176.9904;55753.6464;60971.30881;67611.09633;78269.55764;92602.11784;104453.4657;114878.5809;126238.8997;111343.6175;122561.5429
REMIND;experiment-1-1;R5.2OECD;5;5;without;rcp60;medium;GDP|PPP;billion US$2010/yr;36622.83853;38581.77156;42966.41986;48069.49557;52729.20191;57223.31284;61695.56234;66203.96111;70795.72348;75216.48483;79764.22312;84338.62371;94380.93319;104415.8072;113147.9403;122685.9982;120690.2079;119626.8173;108307.5187
REMIND;experiment-1-1;R5.2OECD;50;50;with;rcp60;medium;Consumption;billion US$2010/yr;22791.05246;23793.64337;25095.25059;28010.37169;31739.22439;36327.4175;41075.06809;46128.08624;51222.56718;55571.77759;60714.33146;67103.3169;77277.223;91177.2664;102484.0713;112007.807;124199.7856;108013.3691;121188.6277
REMIND;experiment-1-1;R5.2OECD;50;50;with;rcp60;medium;GDP|PPP;billion US$2010/yr;36622.83853;38574.19451;42961.2391;48090.1422;52709.17783;57162.56893;61600.11143;66086.62708;70665.89858;75024.82481;79519.38084;84067.47212;93982.90266;103875.5361;112633.8789;122235.5991;120643.0658;120861.1288;111102.3113
REMIND;experiment-1-1;R5.2OECD;50;50;without;rcp60;medium;Consumption;billion US$2010/yr;22777.32161;23832.6728;25165.4161;28087.21225;31823.89202;36395.29814;41029.63827;45741.25901;50579.36085;54882.93819;59520.77855;65338.65712;74137.36226;86295.1635;95388.65775;102044.2296;110780.7611;91666.91364;94195.89522
REMIND;experiment-1-1;R5.2OECD;50;50;without;rcp60;medium;GDP|PPP;billion US$2010/yr;36622.83853;38571.93338;42957.16581;48087.68225;52615.17874;56966.31158;61284.94633;65571.9022;69843.05297;73888.16558;78059.54989;82277.66507;90940.64354;99226.98232;106089.3322;113251.2282;109826.8064;103722.7622;88204.9322
REMIND;experiment-1-1;R5.2OECD;95;95;with;rcp60;medium;Consumption;billion US$2010/yr;22803.20956;23797.14944;25109.85307;27996.53194;31590.80099;36263.13009;40988.22666;45757.59131;50498.09064;54759.5907;59478.14459;65260.73164;74383.50366;87080.58319;96660.4129;104333.5119;114061.3986;97120.96604;105775.6096
REMIND;experiment-1-1;R5.2OECD;95;95;with;rcp60;medium;GDP|PPP;billion US$2010/yr;36622.83853;38573.24758;42963.29766;48102.73154;52626.82071;56968.4697;61303.52042;65632.24048;69938.7704;73995.56367;78198.45089;82417.97613;91266.22986;99933.35323;107344.735;115499.9879;113102.7238;110906.8825;99622.42486
REMIND;experiment-1-1;R5.2OECD;95;95;without;rcp60;medium;Consumption;billion US$2010/yr;22779.91545;23861.38325;25137.84362;28026.86374;31605.33528;36087.56439;40380.48941;44689.2639;49224.49764;53161.43359;57040.86301;61748.30097;68605.61431;78493.60422;84542.01265;87524.01684;91373.68047;71483.79473;65347.90537
REMIND;experiment-1-1;R5.2OECD;95;95;without;rcp60;medium;GDP|PPP;billion US$2010/yr;36622.83853;38574.21339;42962.06542;48098.38156;52462.73485;56618.98583;60664.42472;64550.51814;68323.79696;71847.10442;75443.68282;79012.31218;85625.1766;91454.13516;95626.59147;99716.63991;94348.63131;81885.787;62286.61848
REMIND;experiment-1-1;R5.2OECD;NA;NA;NA;rcp60;medium;Consumption;billion US$2010/yr;22806.47194;23799.44291;25170.11919;28221.16;32177.9726;36729.76039;41429.24931;46388.17136;51611.3277;56231.3677;61546.30387;68452.51705;79392.98353;94942.92413;108241.4698;119900.1863;132692.4727;119430.3205;135463.3488
REMIND;experiment-1-1;R5.2OECD;NA;NA;NA;rcp60;medium;GDP|PPP;billion US$2010/yr;36622.83853;38584.94965;42947.04762;48067.94583;52812.47507;57349.98629;61893.77762;66412.03933;71068.20599;75669.45324;80451.58778;85328.26529;96098.16839;107070.0687;117162.955;128311.1606;127394.9643;130097.2974;122159.7379
REMIND;experiment-1-1;R5.2REF;5;5;with;rcp60;medium;Consumption;billion US$2010/yr;631.9259847;673.4644382;988.5844031;1207.608004;1340.166714;1492.784191;1653.858114;1825.094093;2009.848259;2199.625682;2372.999278;2609.580629;2970.943036;3578.78915;4246.011576;4933.94493;5827.055309;5112.576937;6091.529585
REMIND;experiment-1-1;R5.2REF;5;5;with;rcp60;medium;GDP|PPP;billion US$2010/yr;2615.698122;3080.345253;3806.826425;4703.128491;5617.700915;6572.22808;7535.954235;8419.391922;9192.15503;9879.751551;10564.70615;11338.85183;13079.26047;14640.23677;15932.32331;17548.3117;17516.3963;17885.77379;16386.64782
REMIND;experiment-1-1;R5.2REF;5;5;without;rcp60;medium;Consumption;billion US$2010/yr;631.9580979;675.7546904;995.8008659;1232.083375;1369.068579;1521.792827;1685.672692;1856.84157;2037.224695;2224.933591;2396.940694;2615.675762;2968.504591;3555.363153;4181.252563;4792.738071;5609.476681;4835.471647;5538.37902
REMIND;experiment-1-1;R5.2REF;5;5;without;rcp60;medium;GDP|PPP;billion US$2010/yr;2615.698122;3078.799696;3798.971903;4697.968157;5617.71115;6572.326068;7535.657963;8421.352957;9196.121952;9883.662086;10571.09734;11344.65092;13061.43675;14606.96369;15897.47685;17470.18175;17407.17115;17691.2782;16097.60985
REMIND;experiment-1-1;R5.2REF;50;50;with;rcp60;medium;Consumption;billion US$2010/yr;631.8737386;676.8768247;999.0988967;1247.805219;1377.540132;1537.9896;1699.21999;1876.808307;2060.751579;2232.305421;2401.000781;2611.181059;2931.049559;3466.27463;3994.165737;4491.819259;5118.325797;4365.835092;4976.657849
REMIND;experiment-1-1;R5.2REF;50;50;with;rcp60;medium;GDP|PPP;billion US$2010/yr;2615.698122;3078.190007;3793.850089;4697.793681;5612.554609;6555.76681;7502.507664;8369.501339;9131.79466;9797.801424;10458.03377;11213.88171;12864.01112;14348.57765;15577.2704;17062.18841;16943.94496;17065.45308;15431.07025
REMIND;experiment-1-1;R5.2REF;50;50;without;rcp60;medium;Consumption;billion US$2010/yr;631.8809474;679.6094075;1007.203697;1274.631273;1408.739813;1571.694505;1731.693434;1908.629576;2084.913341;2247.345454;2402.308824;2595.406334;2894.8941;3388.59314;3836.077891;4261.959226;4812.059118;4011.666973;4442.898344
REMIND;experiment-1-1;R5.2REF;50;50;without;rcp60;medium;GDP|PPP;billion US$2010/yr;2615.698122;3076.497034;3785.504107;4692.448786;5609.951856;6552.025394;7495.672814;8361.482218;9123.434783;9784.71697;10432.55239;11169.39354;12764.241;14207.22988;15348.1565;16704.32114;16524.5318;16355.53365;14457.00398
REMIND;experiment-1-1;R5.2REF;95;95;with;rcp60;medium;Consumption;billion US$2010/yr;631.8780019;678.8400433;1005.131152;1266.87649;1393.961879;1561.633117;1724.769441;1899.5638;2070.340456;2230.80708;2391.560181;2581.102659;2854.923202;3316.60132;3727.928056;4096.07351;4575.359763;3792.086444;4264.139085
REMIND;experiment-1-1;R5.2REF;95;95;with;rcp60;medium;GDP|PPP;billion US$2010/yr;2615.698122;3076.935717;3788.157733;4695.94833;5602.762584;6530.348813;7460.950731;8309.657976;9042.058989;9665.546135;10287.93394;11013.60259;12550.86137;13915.9776;15010.36195;16320.94316;16124.49654;15946.43188;14132.13426
REMIND;experiment-1-1;R5.2REF;95;95;without;rcp60;medium;Consumption;billion US$2010/yr;631.8664057;681.4616474;1015.779106;1299.931823;1468.85864;1636.318373;1794.485638;1969.091004;2133.112911;2275.295802;2417.949026;2581.017558;2809.034961;3201.164847;3517.53975;3737.96971;4107.385007;3292.831644;3302.494408
REMIND;experiment-1-1;R5.2REF;95;95;without;rcp60;medium;GDP|PPP;billion US$2010/yr;2615.698122;3076.791254;3783.641361;4680.507481;5589.555575;6526.05874;7451.085634;8290.644404;9019.438134;9633.370855;10238.47139;10946.51292;12392.05744;13642.5056;14641.58154;15736.93887;15371.93964;14805.1298;12653.27891
REMIND;experiment-1-1;R5.2REF;NA;NA;NA;rcp60;medium;Consumption;billion US$2010/yr;632.0181399;670.6441567;997.9364579;1238.472234;1376.961647;1533.065465;1689.764249;1860.93762;2039.03017;2225.398011;2399.160905;2625.771097;2970.700224;3580.556857;4244.140407;4919.142745;5817.612187;5119.321562;6180.429496
REMIND;experiment-1-1;R5.2REF;NA;NA;NA;rcp60;medium;GDP|PPP;billion US$2010/yr;2615.698122;3081.110028;3797.789685;4702.637216;5618.469753;6572.641584;7543.467823;8432.78813;9205.099076;9879.291342;10576.42309;11357.52916;13081.5778;14671.11402;16005.8587;17650.14472;17613.75675;18034.17594;16575.92846
REMIND;experiment-1-1;World;5;5;with;rcp60;medium;Consumption;billion US$2010/yr;31278.86013;33282.18759;39139.44501;47557.74813;56768.44672;65867.27147;75627.75964;85624.70692;96090.23846;106310.2226;117298.461;131299.3321;152772.0267;184668.7667;214726.2762;242471.92;276542.1971;244987.3496;285915.8375
REMIND;experiment-1-1;World;5;5;with;rcp60;medium;GDP|PPP;billion US$2010/yr;63627.74951;74795.65248;92490.1478;113881.0114;136213.702;158692.2579;182088.7815;205865.8525;230758.4332;255948.2222;282346.3892;309803.1656;371362.0003;439322.5409;509524.4401;590111.7079;590925.1858;600948.2738;557846.5488
REMIND;experiment-1-1;World;5;5;without;rcp60;medium;Consumption;billion US$2010/yr;31277.95437;33282.55368;39139.9901;47540.96954;56703.22818;65700.91953;75355.77464;85216.24574;95478.56848;105439.0265;116138.6695;129745.5577;150479.727;181076.2557;209315.5684;235141.2502;266134.8855;232215.2871;264542.9443
REMIND;experiment-1-1;World;5;5;without;rcp60;medium;GDP|PPP;billion US$2010/yr;63627.74951;74792.24959;92481.41269;113891.7284;136125.015;158458.3739;181630.7848;205074.4673;229587.0137;254346.4454;280176.6578;306842.8231;366695.7507;432093.3418;499506.9453;576482.7815;574164.4989;574124.4636;521972.5061
REMIND;experiment-1-1;World;50;50;with;rcp60;medium;Consumption;billion US$2010/yr;31277.23657;33293.57663;39125.80934;47521.9928;56586.03496;65471.45665;74861.48149;84405.86724;94259.57301;103627.4256;113662.4564;126254.0831;145098.1445;172653.7158;197080.3997;218703.9826;245613.4082;211717.0847;239401.3387
REMIND;experiment-1-1;World;50;50;with;rcp60;medium;GDP|PPP;billion US$2010/yr;63627.74951;74807.48386;92479.6356;113863.6682;135920.7897;157911.5963;180565.4474;203187.0948;226434.531;249629.8329;273653.297;298213.2203;352212.6918;409719.9014;466774.3552;531510.2096;523872.4298;513109.2691;457455.1606
REMIND;experiment-1-1;World;50;50;without;rcp60;medium;Consumption;billion US$2010/yr;31275.76153;33303.71711;39122.33959;47490.74276;56416.98839;65117.24875;74264.43513;83457.83284;92847.5416;101751.8498;111050.7557;122757.7266;139972.3063;164580.4513;185355.6281;202415.0331;223166.8279;185480.8096;196431.4642
